temp_normal_seat.png:21 24
153, 354
133, 355
153, 355
226, 355
247, 355
267, 355
132, 386
133, 386
153, 386
173, 386
174, 386
226, 386
247, 386
267, 386
132, 417
133, 417
153, 417
173, 417
174, 417
226, 417
247, 417
267, 417
226, 418
247, 418
267, 418
133, 449
153, 449
154, 449
174, 449
227, 449
247, 449
268, 449
227, 450
247, 450
268, 450
133, 480
174, 480
133, 481
154, 481
174, 481
227, 481
247, 481
268, 481
133, 512
153, 512
154, 512
174, 512
227, 512
247, 512
268, 512
226, 543
247, 543
133, 544
153, 544
173, 544
174, 544
226, 544
247, 544
267, 544
153, 575
226, 575
247, 575
153, 576
153, 648
133, 649
153, 649
226, 649
247, 649
267, 649
132, 680
133, 680
153, 680
173, 680
174, 680
226, 680
247, 680
267, 680
132, 711
133, 711
153, 711
173, 711
174, 711
226, 711
247, 711
267, 711
226, 712
247, 712
267, 712
133, 743
153, 743
154, 743
174, 743
227, 743
247, 743
268, 743
227, 744
247, 744
268, 744
133, 774
174, 774
133, 775
154, 775
174, 775
227, 775
247, 775
268, 775
133, 806
153, 806
154, 806
174, 806
227, 806
247, 806
268, 806
226, 837
247, 837
267, 837
133, 838
153, 838
173, 838
174, 838
226, 838
247, 838
267, 838
132, 870
133, 870
153, 870
173, 870
174, 870
226, 870
247, 870
267, 870
132, 901
133, 901
153, 901
173, 901
174, 901
226, 901
247, 901
267, 901
226, 902
247, 902
267, 902
133, 933
153, 933
154, 933
174, 933
227, 933
247, 933
268, 933
227, 934
247, 934
268, 934
133, 964
174, 964
133, 965
154, 965
174, 965
227, 965
247, 965
268, 965
133, 996
153, 996
154, 996
174, 996
227, 996
247, 996
268, 996
153, 1028
173, 1028
174, 1028
226, 1028
247, 1028
153, 1101
133, 1102
153, 1102
226, 1102
247, 1102
267, 1102
132, 1133
133, 1133
153, 1133
173, 1133
174, 1133
226, 1133
247, 1133
267, 1133
132, 1164
133, 1164
153, 1164
173, 1164
174, 1164
226, 1164
247, 1164
267, 1164
226, 1165
247, 1165
267, 1165
133, 1196
153, 1196
154, 1196
174, 1196
227, 1196
